Ridge Regression with Cross Validation


0  =>  (389, 14) (389, 1) (44, 14) (44, 1)
Run 4 	 lambda  0.000759375 CV MSE_train  20.7801164414 CV MSE_test  [ 24.16269801]
Run 4 	 lambda  0.0011390625 CV MSE_train  20.7801164424 CV MSE_test  [ 24.16268686]
Run 4 	 lambda  0.00170859375 CV MSE_train  20.7801164448 CV MSE_test  [ 24.16267013]
Run 4 	 lambda  0.002562890625 CV MSE_train  20.7801164501 CV MSE_test  [ 24.16264503]
Run 4 	 lambda  0.0038443359375 CV MSE_train  20.7801164622 CV MSE_test  [ 24.16260739]
Run 4 	 lambda  0.00576650390625 CV MSE_train  20.7801164892 CV MSE_test  [ 24.16255094]
Run 4 	 lambda  0.00864975585938 CV MSE_train  20.78011655 CV MSE_test  [ 24.16246628]
Run 4 	 lambda  0.0129746337891 CV MSE_train  20.7801166868 CV MSE_test  [ 24.16233934]
Run 4 	 lambda  0.0194619506836 CV MSE_train  20.7801169945 CV MSE_test  [ 24.16214902]
Run 4 	 lambda  0.0291929260254 CV MSE_train  20.7801176863 CV MSE_test  [ 24.16186377]
Run 4 	 lambda  0.0437893890381 CV MSE_train  20.7801192412 CV MSE_test  [ 24.16143639]
Run 4 	 lambda  0.0656840835571 CV MSE_train  20.7801227342 CV MSE_test  [ 24.16079642]
Run 4 	 lambda  0.0985261253357 CV MSE_train  20.7801305747 CV MSE_test  [ 24.15983896]
Run 4 	 lambda  0.147789188004 CV MSE_train  20.780148153 CV MSE_test  [ 24.15840835]
Run 4 	 lambda  0.221683782005 CV MSE_train  20.7801874939 CV MSE_test  [ 24.15627489]
Run 4 	 lambda  0.332525673008 CV MSE_train  20.7802753094 CV MSE_test  [ 24.15310241]
Run 4 	 lambda  0.498788509512 CV MSE_train  20.7804705658 CV MSE_test  [ 24.14840499]
Run 4 	 lambda  0.748182764268 CV MSE_train  20.78090223 CV MSE_test  [ 24.1414934]
Run 4 	 lambda  1.1222741464 CV MSE_train  20.7818485611 CV MSE_test  [ 24.13141783]
Run 4 	 lambda  1.6834112196 CV MSE_train  20.7838982276 CV MSE_test  [ 24.11692672]
Run 4 	 lambda  2.5251168294 CV MSE_train  20.7882621737 CV MSE_test  [ 24.0964855]
Run 4 	 lambda  3.78767524411 CV MSE_train  20.7973365412 CV MSE_test  [ 24.06843426]
Run 4 	 lambda  5.68151286616 CV MSE_train  20.8156238948 CV MSE_test  [ 24.03140081]
Run 4 	 lambda  8.52226929924 CV MSE_train  20.8510560788 CV MSE_test  [ 23.98511169]
Run 4 	 lambda  10 CV MSE_train  20.8723863724 CV MSE_test  [ 23.96467064]
Run 4 	 lambda  0.0 CV MSE_train  20.7801164405 CV MSE_test  [ 24.16272032]


5  =>  (390, 14) (390, 1) (43, 14) (43, 1)
Run 5 	 lambda  0.0001 CV MSE_train  19.5138098425 CV MSE_test  [ 39.2037568]
Run 5 	 lambda  0.00015 CV MSE_train  19.5138098425 CV MSE_test  [ 39.2037619]
Run 5 	 lambda  0.000225 CV MSE_train  19.5138098425 CV MSE_test  [ 39.20376956]
Run 5 	 lambda  0.0003375 CV MSE_train  19.5138098426 CV MSE_test  [ 39.20378103]
Run 5 	 lambda  0.00050625 CV MSE_train  19.5138098428 CV MSE_test  [ 39.20379825]
Run 5 	 lambda  0.000759375 CV MSE_train  19.5138098431 CV MSE_test  [ 39.20382407]
Run 5 	 lambda  0.0011390625 CV MSE_train  19.513809844 CV MSE_test  [ 39.2038628]
Run 5 	 lambda  0.00170859375 CV MSE_train  19.5138098459 CV MSE_test  [ 39.2039209]
Run 5 	 lambda  0.002562890625 CV MSE_train  19.5138098503 CV MSE_test  [ 39.20400804]
Run 5 	 lambda  0.0038443359375 CV MSE_train  19.5138098601 CV MSE_test  [ 39.20413876]
Run 5 	 lambda  0.00576650390625 CV MSE_train  19.5138098821 CV MSE_test  [ 39.20433481]
Run 5 	 lambda  0.00864975585938 CV MSE_train  19.5138099316 CV MSE_test  [ 39.20462886]
Run 5 	 lambda  0.0129746337891 CV MSE_train  19.513810043 CV MSE_test  [ 39.20506988]
Run 5 	 lambda  0.0194619506836 CV MSE_train  19.5138102934 CV MSE_test  [ 39.20573126]
Run 5 	 lambda  0.0291929260254 CV MSE_train  19.5138108566 CV MSE_test  [ 39.20672301]
Run 5 	 lambda  0.0437893890381 CV MSE_train  19.5138121223 CV MSE_test  [ 39.20820992]
Run 5 	 lambda  0.0656840835571 CV MSE_train  19.5138149659 CV MSE_test  [ 39.21043864]
Run 5 	 lambda  0.0985261253357 CV MSE_train  19.5138213491 CV MSE_test  [ 39.21377809]
Run 5 	 lambda  0.147789188004 CV MSE_train  19.5138356612 CV MSE_test  [ 39.21877905]
Run 5 	 lambda  0.221683782005 CV MSE_train  19.5138676962 CV MSE_test  [ 39.2262621]
Run 5 	 lambda  0.332525673008 CV MSE_train  19.5139392165 CV MSE_test  [ 39.23744554]
Run 5 	 lambda  0.498788509512 CV MSE_train  19.5140982842 CV MSE_test  [ 39.25412882]
Run 5 	 lambda  0.748182764268 CV MSE_train  19.514450087 CV MSE_test  [ 39.27894942]
Run 5 	 lambda  1.1222741464 CV MSE_train  19.5152218077 CV MSE_test  [ 39.31572852]
Run 5 	 lambda  1.6834112196 CV MSE_train  19.5168947996 CV MSE_test  [ 39.36990669]
Run 5 	 lambda  2.5251168294 CV MSE_train  19.5204615751 CV MSE_test  [ 39.44902972]
Run 5 	 lambda  3.78767524411 CV MSE_train  19.5278931788 CV MSE_test  [ 39.56315734]
Run 5 	 lambda  5.68151286616 CV MSE_train  19.5429144059 CV MSE_test  [ 39.72491756]
Run 5 	 lambda  8.52226929924 CV MSE_train  19.5721463369 CV MSE_test  [ 39.94874822]
Run 5 	 lambda  10 CV MSE_train  19.5898120882 CV MSE_test  [ 40.05727464]
Run 5 	 lambda  0.0 CV MSE_train  19.5138098425 CV MSE_test  [ 39.2037466]


6  =>  (390, 14) (390, 1) (43, 14) (43, 1)
Run 6 	 lambda  0.0001 CV MSE_train  20.8923013158 CV MSE_test  [ 21.02353417]
Run 6 	 lambda  0.00015 CV MSE_train  20.8923013158 CV MSE_test  [ 21.02352957]
Run 6 	 lambda  0.000225 CV MSE_train  20.8923013158 CV MSE_test  [ 21.02352266]
Run 6 	 lambda  0.0003375 CV MSE_train  20.8923013159 CV MSE_test  [ 21.02351231]
Run 6 	 lambda  0.00050625 CV MSE_train  20.8923013162 CV MSE_test  [ 21.02349678]
Run 6 	 lambda  0.000759375 CV MSE_train  20.8923013168 CV MSE_test  [ 21.02347349]
Run 6 	 lambda  0.0011390625 CV MSE_train  20.8923013181 CV MSE_test  [ 21.02343855]
Run 6 	 lambda  0.00170859375 CV MSE_train  20.8923013211 CV MSE_test  [ 21.02338614]
Run 6 	 lambda  0.002562890625 CV MSE_train  20.8923013278 CV MSE_test  [ 21.02330753]
Run 6 	 lambda  0.0038443359375 CV MSE_train  20.8923013428 CV MSE_test  [ 21.02318963]
Run 6 	 lambda  0.00576650390625 CV MSE_train  20.8923013767 CV MSE_test  [ 21.02301281]
Run 6 	 lambda  0.00864975585938 CV MSE_train  20.8923014529 CV MSE_test  [ 21.02274763]
Run 6 	 lambda  0.0129746337891 CV MSE_train  20.8923016242 CV MSE_test  [ 21.02235]
Run 6 	 lambda  0.0194619506836 CV MSE_train  20.8923020096 CV MSE_test  [ 21.02175385]
Run 6 	 lambda  0.0291929260254 CV MSE_train  20.892302876 CV MSE_test  [ 21.02086031]
Run 6 	 lambda  0.0437893890381 CV MSE_train  20.8923048233 CV MSE_test  [ 21.01952152]
Run 6 	 lambda  0.0656840835571 CV MSE_train  20.8923091972 CV MSE_test  [ 21.01751676]
Run 6 	 lambda  0.0985261253357 CV MSE_train  20.8923190141 CV MSE_test  [ 21.01451727]
Run 6 	 lambda  0.147789188004 CV MSE_train  20.8923410193 CV MSE_test  [ 21.0100352]
Run 6 	 lambda  0.221683782005 CV MSE_train  20.8923902541 CV MSE_test  [ 21.00335045]
Run 6 	 lambda  0.332525673008 CV MSE_train  20.8925001089 CV MSE_test  [ 20.99340881]
Run 6 	 lambda  0.498788509512 CV MSE_train  20.8927442183 CV MSE_test  [ 20.97868583]
Run 6 	 lambda  0.748182764268 CV MSE_train  20.8932833884 CV MSE_test  [ 20.95701847]
Run 6 	 lambda  1.1222741464 CV MSE_train  20.8944637917 CV MSE_test  [ 20.92542592]
Run 6 	 lambda  1.6834112196 CV MSE_train  20.8970153005 CV MSE_test  [ 20.87998594]
Run 6 	 lambda  2.5251168294 CV MSE_train  20.9024317603 CV MSE_test  [ 20.81591636]
Run 6 	 lambda  3.78767524411 CV MSE_train  20.9136468901 CV MSE_test  [ 20.72813997]
Run 6 	 lambda  5.68151286616 CV MSE_train  20.9361118928 CV MSE_test  [ 20.61274805]
Run 6 	 lambda  8.52226929924 CV MSE_train  20.9792719081 CV MSE_test  [ 20.46980875]
Run 6 	 lambda  10 CV MSE_train  21.0050726137 CV MSE_test  [ 20.40731026]
Run 6 	 lambda  0.0 CV MSE_train  20.8923013157 CV MSE_test  [ 21.02354337]


7  =>  (390, 14) (390, 1) (43, 14) (43, 1)
Run 7 	 lambda  0.0001 CV MSE_train  21.3405172496 CV MSE_test  [ 16.61744992]
Run 7 	 lambda  0.00015 CV MSE_train  21.3405172496 CV MSE_test  [ 16.61745131]
Run 7 	 lambda  0.000225 CV MSE_train  21.3405172497 CV MSE_test  [ 16.61745341]
Run 7 	 lambda  0.0003375 CV MSE_train  21.3405172497 CV MSE_test  [ 16.61745654]
Run 7 	 lambda  0.00050625 CV MSE_train  21.3405172499 CV MSE_test  [ 16.61746125]
Run 7 	 lambda  0.000759375 CV MSE_train  21.3405172504 CV MSE_test  [ 16.6174683]
Run 7 	 lambda  0.0011390625 CV MSE_train  21.3405172513 CV MSE_test  [ 16.61747889]
Run 7 	 lambda  0.00170859375 CV MSE_train  21.3405172535 CV MSE_test  [ 16.61749477]
Run 7 	 lambda  0.002562890625 CV MSE_train  21.3405172584 CV MSE_test  [ 16.61751859]
Run 7 	 lambda  0.0038443359375 CV MSE_train  21.3405172695 CV MSE_test  [ 16.61755431]
Run 7 	 lambda  0.00576650390625 CV MSE_train  21.3405172944 CV MSE_test  [ 16.6176079]
Run 7 	 lambda  0.00864975585938 CV MSE_train  21.3405173504 CV MSE_test  [ 16.61768827]
Run 7 	 lambda  0.0129746337891 CV MSE_train  21.3405174763 CV MSE_test  [ 16.61780883]
Run 7 	 lambda  0.0194619506836 CV MSE_train  21.3405177596 CV MSE_test  [ 16.61798964]
Run 7 	 lambda  0.0291929260254 CV MSE_train  21.3405183965 CV MSE_test  [ 16.61826082]
Run 7 	 lambda  0.0437893890381 CV MSE_train  21.340519828 CV MSE_test  [ 16.61866749]
Run 7 	 lambda  0.0656840835571 CV MSE_train  21.340523044 CV MSE_test  [ 16.61927728]
Run 7 	 lambda  0.0985261253357 CV MSE_train  21.3405302636 CV MSE_test  [ 16.62019148]
Run 7 	 lambda  0.147789188004 CV MSE_train  21.3405464525 CV MSE_test  [ 16.6215617]
Run 7 	 lambda  0.221683782005 CV MSE_train  21.3405826927 CV MSE_test  [ 16.62361457]
Run 7 	 lambda  0.332525673008 CV MSE_train  21.3406636161 CV MSE_test  [ 16.62668841]
Run 7 	 lambda  0.498788509512 CV MSE_train  21.3408436452 CV MSE_test  [ 16.6312869]
Run 7 	 lambda  0.748182764268 CV MSE_train  21.3412419663 CV MSE_test  [ 16.6381573]
Run 7 	 lambda  1.1222741464 CV MSE_train  21.3421162436 CV MSE_test  [ 16.64840226]
Run 7 	 lambda  1.6834112196 CV MSE_train  21.3440131929 CV MSE_test  [ 16.66363638]
Run 7 	 lambda  2.5251168294 CV MSE_train  21.3480624417 CV MSE_test  [ 16.686199]
Run 7 	 lambda  3.78767524411 CV MSE_train  21.3565139775 CV MSE_test  [ 16.7194344]
Run 7 	 lambda  5.68151286616 CV MSE_train  21.3736368313 CV MSE_test  [ 16.76805954]
Run 7 	 lambda  8.52226929924 CV MSE_train  21.4070566374 CV MSE_test  [ 16.83869247]
Run 7 	 lambda  10 CV MSE_train  21.4272958786 CV MSE_test  [ 16.87454558]
Run 7 	 lambda  0.0 CV MSE_train  21.3405172496 CV MSE_test  [ 16.61744713]


8  =>  (390, 14) (390, 1) (43, 14) (43, 1)
Run 8 	 lambda  0.0001 CV MSE_train  20.140825563 CV MSE_test  [ 29.6424005]
Run 8 	 lambda  0.00015 CV MSE_train  20.140825563 CV MSE_test  [ 29.64239797]
Run 8 	 lambda  0.000225 CV MSE_train  20.140825563 CV MSE_test  [ 29.64239417]
Run 8 	 lambda  0.0003375 CV MSE_train  20.1408255631 CV MSE_test  [ 29.64238847]
Run 8 	 lambda  0.00050625 CV MSE_train  20.1408255634 CV MSE_test  [ 29.64237993]
Run 8 	 lambda  0.000759375 CV MSE_train  20.140825564 CV MSE_test  [ 29.64236711]
Run 8 	 lambda  0.0011390625 CV MSE_train  20.1408255652 CV MSE_test  [ 29.64234788]
Run 8 	 lambda  0.00170859375 CV MSE_train  20.1408255681 CV MSE_test  [ 29.64231904]
Run 8 	 lambda  0.002562890625 CV MSE_train  20.1408255746 CV MSE_test  [ 29.64227578]
Run 8 	 lambda  0.0038443359375 CV MSE_train  20.1408255892 CV MSE_test  [ 29.64221091]
Run 8 	 lambda  0.00576650390625 CV MSE_train  20.1408256219 CV MSE_test  [ 29.64211365]
Run 8 	 lambda  0.00864975585938 CV MSE_train  20.1408256956 CV MSE_test  [ 29.64196783]
Run 8 	 lambda  0.0129746337891 CV MSE_train  20.1408258614 CV MSE_test  [ 29.64174928]
Run 8 	 lambda  0.0194619506836 CV MSE_train  20.1408262342 CV MSE_test  [ 29.64142184]
Run 8 	 lambda  0.0291929260254 CV MSE_train  20.1408270723 CV MSE_test  [ 29.64093157]
Run 8 	 lambda  0.0437893890381 CV MSE_train  20.1408289559 CV MSE_test  [ 29.64019815]
Run 8 	 lambda  0.0656840835571 CV MSE_train  20.1408331865 CV MSE_test  [ 29.6391025]
Run 8 	 lambda  0.0985261253357 CV MSE_train  20.1408426803 CV MSE_test  [ 29.63746902]
Run 8 	 lambda  0.147789188004 CV MSE_train  20.1408639572 CV MSE_test  [ 29.6350412]
Run 8 	 lambda  0.221683782005 CV MSE_train  20.1409115482 CV MSE_test  [ 29.63144949]
Run 8 	 lambda  0.332525673008 CV MSE_train  20.1410176879 CV MSE_test  [ 29.62617309]
